video_index,video_id,video_key,model,dimension,n,score_human,sd_human
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,completeness,36,75.0,20.702
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,conciseness,36,77.7778,19.6194
9,bXdq2zI1Ms0,bXdq2zI1Ms0,Llama 4,relevance,36,81.25,19.2493
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,accuracy,36,8.3333,22.3607
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,completeness,36,11.8056,23.5176
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,conciseness,36,18.0556,29.6474
9,bXdq2zI1Ms0,bXdq2zI1Ms0,SkimCap,relevance,36,11.1111,23.4859
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,accuracy,36,84.0278,15.983
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,completeness,36,83.3333,19.8206
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,conciseness,36,81.9444,19.4671
10,-UwqKYkkKlU,-UwqKYkkKlU,GPT-4.1,relevance,36,79.1667,22.7565
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,accuracy,36,81.25,19.2493
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,completeness,36,81.25,21.8559
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,conciseness,36,81.9444,17.5368
10,-UwqKYkkKlU,-UwqKYkkKlU,Llama 4,relevance,36,84.0278,19.9578
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,accuracy,36,34.7222,26.2391
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,completeness,36,28.4722,23.2631
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,conciseness,36,34.7222,24.8408
10,-UwqKYkkKlU,-UwqKYkkKlU,SkimCap,relevance,36,31.25,24.1831
