video_index,video_id,video_key,model,dimension,n,score_human,sd_human,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,accuracy,36,34.0278,27.4856,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,completeness,36,43.75,28.2685,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,conciseness,36,54.1667,26.3899,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,Llama 4,relevance,36,50.6944,25.6947,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,accuracy,36,23.6111,26.689,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,completeness,36,13.8889,18.3658,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,conciseness,36,27.0833,28.2685,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
5,bvnXdr-Hre4,bvnXdr-Hre4,SkimCap,relevance,36,15.9722,19.042,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,accuracy,36,78.4722,19.042,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,completeness,36,74.3056,22.7456,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,conciseness,36,72.9167,22.6582,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,GPT-4.1,relevance,36,74.3056,25.6947,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,accuracy,36,65.2778,26.2391,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,completeness,36,54.1667,25.0,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,conciseness,36,56.25,29.5048,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,Llama 4,relevance,36,61.8056,25.6947,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,accuracy,36,21.5278,27.4856,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,completeness,36,20.8333,27.7102,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,conciseness,36,22.2222,29.7476,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
6,j4Ru2L4u0Qk,j4Ru2L4u0Qk,SkimCap,relevance,36,21.5278,27.4856,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
